id,timestamp,selatan,timur,utara,barat,bawah,atas,co2_concentration,ch4_concentration,dht_temperature,dht_humidity,bmp_temperature,bmp_pressure,sht31_temperature,sht31_humidity,approx_altitude,absolute_humidity,createdAt,updatedAt
1664070,Sun Jan 14 2024 07:01:05 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.6,71.38,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664071,Sun Jan 14 2024 07:01:06 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.6,71.41,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664072,Sun Jan 14 2024 07:01:06 GMT+0700 (Western Indonesia Time),0,0,0,0,0,0,65414,78680,29,58.1,26.53,997.36,26.6,71.41,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664073,Sun Jan 14 2024 07:01:06 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.6,71.39,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664074,Sun Jan 14 2024 07:01:06 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.61,71.4,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664075,Sun Jan 14 2024 07:01:06 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.6,71.36,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664076,Sun Jan 14 2024 07:01:07 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.36,26.61,71.36,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664077,Sun Jan 14 2024 07:01:07 GMT+0700 (Western Indonesia Time),0,0,0,0,0.32,0,65414,78680,29,58.1,26.53,997.36,26.61,71.38,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664078,Sun Jan 14 2024 07:01:07 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.37,26.61,71.41,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664079,Sun Jan 14 2024 07:01:07 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.38,26.61,71.37,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664080,Sun Jan 14 2024 07:01:07 GMT+0700 (Western Indonesia Time),0,0,0,0,0.01,0,65414,78680,29,58.1,26.53,997.38,26.59,71.38,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
1664081,Sun Jan 14 2024 07:01:08 GMT+0700 (Western Indonesia Time),0.16,0,0,0,0,0,65414,78680,29,58.1,26.53,997.36,26.6,71.37,65414,0.12,Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time),Sun Jan 14 2024 07:31:06 GMT+0700 (Western Indonesia Time)
