timestamp,selatan,timur,utara,barat,bawah,atas,co2_concentration,ch4_concentration,dht_temperature,dht_humidity,bmp_temperature,bmp_pressure,sht31_temperature,sht31_humidity,heat_index,approx_altitude,absolute_humidity
2023-10-25 10:45:16:739,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.97,20.97,62.96,25,60.76,0.11
2023-10-25 10:45:16:990,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1005.99,21,62.98,25,60.65,0.11
2023-10-25 10:45:17:242,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1006.01,20.95,62.98,25,60.48,0.11
2023-10-25 10:45:17:493,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1005.98,20.98,62.97,25,60.69,0.11
2023-10-25 10:45:17:743,0,0,0,0,0.32,0,65414,78680,25,50.7,20.87,1005.95,20.98,62.98,25,60.95,0.11
2023-10-25 10:45:17:993,0,0,0,0,0.32,0,65414,78680,25,50.7,20.87,1005.97,21,62.95,25,60.78,0.11
2023-10-25 10:45:18:244,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1005.97,20.98,62.98,25,60.78,0.11
2023-10-25 10:45:18:620,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.97,20.97,62.97,25,60.83,0.11
2023-10-25 10:45:18:869,0,0,0,0,0.32,0,65414,78680,25,50.7,20.87,1006.02,21,62.97,25,60.38,0.11
2023-10-25 10:45:19:119,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1006,20.97,NaN,25,60.55,NaN
2023-10-25 10:45:19:369,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1005.96,21.01,62.95,25,60.88,0.11
2023-10-25 10:45:19:620,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1006.01,20.97,62.97,25,60.43,0.11
2023-10-25 10:45:19:870,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.99,21,62.94,25,60.59,0.11
2023-10-25 10:45:20:120,0,0,0,0,0,0,65414,78680,25,50.7,20.88,1005.99,NaN,62.95,25,60.65,NaN
2023-10-25 10:45:20:371,0,0,0,0,0,0,65414,78680,25,50.7,20.87,1005.96,20.98,62.96,25,60.86,0.11
2023-10-25 10:45:20:622,0,0,0,0,0.32,0,65414,78680,25,50.7,20.88,1006.04,21,62.94,25,60.22,0.11
